Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
Palmd	-0.811795128319481	-0.947398005102438	-0.942945483986647	-0.763442859935658	-0.499927801985378	-0.398500797010834	0.161043547828102	-0.608776614637196	1.56282971095344	1.36579748058548	1.688262862166	1.80036070465788	-0.572000922290697	-0.5803998858124	-0.233195174023638	-0.219911633086531
Stum	-0.592403139053574	-0.320416742440103	-0.816207173593404	-0.516064857431052	-0.865916793708736	-0.800007720396538	-0.129645417654713	-0.944848269448809	1.48400738883338	1.62372852427861	1.80811405099599	1.41166065915235	-0.33244806228137	-0.394229560441907	0.30813878197249	-0.923461668782609
Cpne6	-0.593004134063845	-0.561484732847881	-0.506729320528434	-0.582567219892124	-0.394633011154418	-0.333292827438029	0.553082199143769	-0.513931435683369	1.47600326799527	1.56943414778679	1.80895622762141	1.45539017634753	-0.742615933268191	-0.842761444416756	-0.915965704631868	-0.875880254969858
Btbd16	-0.933309459200286	-0.849501674292123	-0.632044339149343	-0.930386680747723	-0.393648351965226	-0.313316563242976	-0.147284878057244	-0.394922999560342	1.80539232599902	1.62775940243337	1.26118982386739	1.805089497659	-0.628819313895977	-0.523780382153757	-0.393278628157409	-0.35913777953636
Gpr22	-0.683775675447176	-0.729385189433961	-0.679059439949759	-0.665710787096571	-0.0879760422287966	-0.105490368797016	0.149431094327747	-0.0880762026028519	1.43162255009887	1.35830869368395	1.88341938068763	1.63470908126806	-0.777995787070107	-0.900830412991995	-0.825170869720271	-0.914020024727755
Myom2	-0.629079781517929	-0.759049466096799	-0.781155826598061	-0.62448697376174	-0.544508357315689	-0.440124479489834	0.476904258001501	-0.650871432006964	1.69147963257895	1.54347063658548	1.40391515871341	1.75473789797423	-0.402182618464911	-0.506830336166693	-0.747645866643712	-0.784572445791239
Tanc1	-0.922022451507157	-0.861210443138729	-0.856376064034323	-0.93560414418902	-0.567575562392635	-0.552385973652455	0.559871119968802	-0.694236073882138	1.59757565938082	1.87617038856403	1.46288215954238	1.28475766165344	-0.232619316025487	-0.464809983065826	-0.311103767483188	-0.383313209738516
Pcdh19	-0.439979955975113	-0.48941527703954	-0.19767380094304	-0.398776934537166	-0.437327908231865	-0.296716908567263	0.394757253235446	-0.537712341704925	1.32683116395603	1.49675873134272	2.05967808816163	1.32535012732062	-0.81994342147972	-1.01519755769253	-0.997692586983631	-0.972938670861649
Nptxr	-0.654597846040192	-0.637457491894493	-0.716998460794298	-0.663473400104335	-0.278095219855478	-0.223994366632926	0.117950365472745	-0.327050477006535	1.69349900749089	1.57323481346127	1.47163394692033	1.7421046838007	-0.667262452536894	-0.806939575052401	-0.756010918262422	-0.866542608965959
AABR07007717.3	-0.709561344542897	-0.51776285813412	-0.709561344542897	-0.510293529871844	-0.537376515384444	-0.537735868455493	0.495400398030913	-0.537643453850533	1.6844801859167	1.3922416302106	1.53832643448398	1.78773164431162	-0.709561344542897	-0.709561344542897	-0.709561344542897	-0.709561344542897
Nfib	-0.779855650376702	-0.965964185061084	-0.876709360437047	-0.751954289957386	-0.117590380833182	-0.0708093641102207	0.267111636757606	-0.13485537353525	1.41696112350455	1.52573303242145	1.88166648110698	1.42208530034356	-0.409746113849144	-0.711580016033282	-0.784871383854525	-0.909621456086326
Nhlh1	-0.630554833689373	-0.630554833689373	-0.630554833689373	-0.630554833689373	-0.369959032084556	-0.318492513941652	-0.109506820103601	-0.370363034248332	1.12933339984049	0.535814152994048	1.88176563984775	2.54428130036953	-0.58920863725493	-0.630554833689373	-0.550335453282504	-0.630554833689373
AABR07060341.2	-0.440211700071913	-0.71470575644308	-0.910859761080576	-0.231549919191217	-0.499971557759219	-0.442253279150992	-0.0893097559462551	-0.500608558517441	1.59584305339774	2.13431121019853	1.56491603610721	1.13234310121079	-0.584901624715761	-0.865943505478194	-0.323612658902581	-0.823485323657038
Camkk1	-0.77938006411548	-0.863568272717279	-0.815947616046061	-0.729259073925973	0.0983733187936657	0.027879409592396	-0.394395259669355	0.367149350698416	1.6804295966127	1.87343374032243	1.24244314674897	1.37066175518829	-0.72226864986887	-0.831286731240362	-0.667134472093479	-0.857130178280009
Homer3	-0.876907863184324	-0.898549867388583	-1.00799627408381	-0.853682141667486	-0.365140487332202	-0.359101335695635	0.0652356107599193	-0.377315590575532	2.02009648832977	1.96295460069703	0.565277162798991	1.56069700651737	-0.196917848569178	-0.453106601935493	-0.274466872277814	-0.511075986393018
Nsmf	-1.01454991614836	-1.10187846474003	-0.967923211151408	-0.995480752967056	-0.363245574067122	-0.356547550506743	0.190555233716161	-0.408835195410345	1.53985237680892	1.57324350999004	1.64502857911787	1.5134274503397	-0.0480256617378685	-0.320838511485578	-0.326896165655241	-0.557886146102935
Tmem71	-0.641464163661722	-0.480665173627852	-0.635822756436548	-0.639703792570421	-0.514510377423828	-0.366879993509214	-0.0690334314023141	-0.514971004764789	2.13918501442979	1.75739299046951	0.38188888157897	1.91760019312918	-0.575924921134908	-0.697952147587646	-0.468645280423295	-0.590494037064913
Itgbl1	-0.757333078100335	-0.752101031090813	-0.665775255447033	-0.734554033988318	-0.462842219437146	-0.319269575900218	0.433086957122287	-0.553967664024806	1.61095150621563	1.16614094507546	1.40300402985505	2.1302555899175	-0.617611090878167	-0.46946267545667	-0.773378110198843	-0.637144293663572
AABR07051952.1	-0.722375223052716	-0.729127518806664	-0.587526926183028	-0.719837608577865	-0.325215146738433	-0.433409172877203	0.209843707977154	-0.433121823281039	1.69086745739398	0.992898819192999	1.07540237235317	2.44890923300471	-0.458010813394531	-0.639932670725123	-0.720464045766014	-0.648900640519396
Smpd5	-0.835493980171283	-0.845143532035341	-0.914415947958825	-0.831867533200008	-0.267921573040393	-0.269837717619341	0.0377828220176018	-0.2693449439141	1.77737831596746	1.38228073585136	1.11899202810676	2.06899535907901	-0.336305213332892	-0.483492542653833	-0.715001499947566	-0.616604777148599
Shisa6	-0.888937272987348	-0.837815654253792	-0.831294259939384	-0.902609219962678	-0.414998154305152	-0.392912033190302	0.252751746357367	-0.483056184533025	1.63777977626875	1.53268402998102	1.53992367812687	1.73507117036911	-0.582281448562872	-0.435123221725711	-0.514177929383279	-0.415005022259576
Syn2	-0.486889523663169	-0.45934742733135	-0.385307920996207	-0.451192273067105	-0.348399681045589	-0.181658520270654	0.408528958633372	-0.464128473591888	1.54990306427817	1.55895583933238	1.597634851169	1.53151630917299	-0.722116331969713	-0.79362097531508	-1.2512006561776	-1.10267723915755
Slc9a2	-0.745490968906597	-0.71753496180648	-0.73629415303673	-0.749708749123693	-0.332530981934014	-0.31972649405142	0.191819741413674	-0.38433628756401	1.59125009168986	1.49950158669414	1.70720620816249	1.70165667662087	-0.628814675047876	-0.722167510489468	-0.642789958395141	-0.712039564225601
Slc17a7	-0.681545453402607	-0.752219077824587	-0.631624124277346	-0.685939099336285	-0.458638357094674	-0.414603578278292	0.155360417084461	-0.513576860500877	1.62606862825799	1.70754764507372	1.67596103496302	1.53963569194746	-0.46885227799421	-0.68367227941691	-0.66153233615735	-0.752369973043525
Dusp9	-0.660206902217381	-0.661654360628707	-0.712790717553153	-0.659662925538904	-0.39144128816095	-0.346300698223527	0.113308731360993	-0.437775368326491	1.88595094529767	2.0423727866635	1.08517120508832	1.41781989176411	-0.676372587171257	-0.677662395562922	-0.64213271012448	-0.678623606666838
Bhlhe22	-0.642131154621668	-0.701200057445193	-0.685006130784845	-0.628257415139241	-0.37621107547041	-0.358167116235314	-0.0336477153420735	-0.398771716628602	1.56997095865509	1.3192041441426	1.72066394500342	1.94191498870132	-0.659689947076254	-0.712287336616403	-0.640670216106496	-0.715714155035926
AC126641.1	-0.80750385996445	-0.961006459365344	-0.627114676016577	-0.80579792982887	-0.23562375652009	-0.0939182645586645	0.688633884668344	-0.406360641037699	1.42964157682964	1.44755564240588	1.75246559252622	1.47569908145667	-0.425871387583946	-0.916680299962247	-0.510002832809956	-1.0041156702389
Klhl14	-0.788858961020526	-0.692125368154208	-0.600306944246078	-0.82218796392168	-0.600845734231327	-0.479197452299155	0.687427167406744	-0.724010800655855	1.34672798811916	1.30999809821302	2.02005628199616	1.55176818524156	-0.512903934541663	-0.717983953669819	-0.480235615902583	-0.497320992333757
Syt17	-0.652227891447126	-0.515644686759507	-0.65839188243936	-0.669622381725982	-0.160745158776141	-0.068516482585935	0.182844496060709	-0.197435570037195	1.42315309274118	1.32306427462663	1.89598567250593	1.66058957328741	-0.781625013234875	-0.901555163104768	-0.889909919195185	-0.989962959915784
Ngf	-0.69791429195594	-0.646996399428831	-0.434525414010945	-0.689262139791007	-0.273078593327113	-0.275710744044274	0.0583774819618578	-0.275033835487426	1.76188926394001	1.50421924161984	1.26545181522597	1.86737263663029	-0.481108669886258	-0.619995563815946	-1.02344223962307	-1.04024254800717
Cpeb1	-0.780052223151929	-0.832746279849599	-0.655915667009812	-0.765164506292887	-0.0645176108261339	-0.0221443024565932	0.445526768802423	-0.114753333837391	1.4483419871899	1.57312208826212	1.73106951710346	1.39120725476518	-0.607691193975291	-0.696212547682231	-1.08059548753623	-0.969474463504988
Scn3b	-0.125626464975957	-0.186199983145572	-0.131496970414959	-0.0888469395929856	-0.419899142370342	-0.520008118353196	-0.0467606498208469	-0.434945913514874	1.48370449207208	1.81296147115392	1.67554705685424	1.20476985036545	-1.10999454550802	-1.25921457003429	-0.889648122370377	-0.964341450344272
Unc5a	-0.631011722738877	-0.629516243310593	-0.668665574470585	-0.634428565807224	-0.100723954554469	-0.0184994085701425	0.301336513341503	-0.134824984053559	1.34326346549032	1.2656273197279	1.97065731788809	1.60214210644672	-0.802104247742787	-0.908196521635209	-0.995123795957691	-0.959931704053403
Cabp7	-0.643969386833854	-0.620660824051818	-0.658724282907178	-0.644421870675173	-0.360072322383457	-0.357082154274768	0.474394537884765	-0.442552671746612	1.71024260186343	1.70477173660168	1.35973319427716	1.59570614814561	-0.79046566183461	-0.830430310419217	-0.669701397526455	-0.826767336119507
AABR07034767.1	-0.806163573814769	-0.736112668908848	-0.895961741324175	-0.795538699141848	-0.416526148743462	-0.383364987851827	0.682494385651785	-0.534897576734031	1.56380574881304	1.55708920034708	1.59313062300433	1.56137428404865	-0.478140121455208	-0.578106595895675	-0.628572722031405	-0.704509405963636
Smpd2	-0.94868062264239	-0.73023671155875	-1.10333001448211	-0.923217655105485	-0.281170513415259	-0.260116213257354	0.646109802661063	-0.382710261161055	1.66074545740619	1.71239513567001	1.29189670901728	1.49158596776871	-0.465104613007432	-0.491975778776811	-0.654616273108516	-0.561574416008085
D430019H16Rik	-0.448697846010434	-0.256588527991241	-0.442431773461383	-0.430857677249018	-0.21599945381884	-0.220084227502247	-0.281044914005177	-0.0901857816993646	1.58619823888471	1.48046862346161	1.56342382749633	1.71565700467188	-1.01298961950058	-0.774294745873984	-1.29596878529447	-0.87660434210779
Krt2	-0.823581900206064	-1.03642071446003	-1.07414684425204	-0.775236326491015	-0.361881811328375	-0.0947719457297906	0.00957656604341525	-0.330218858216388	1.40857743182816	1.03718930938667	1.81699532105787	1.97995161789877	-0.265913884972233	-0.653565110507723	-0.179126424951974	-0.657426425099249
Tuba8	-0.759174702585524	-0.657979229321271	-0.68018386553596	-0.782271535617682	-0.0663408968681091	-0.0567517372180757	0.14941725132242	-0.0621242378874066	1.70261394124401	1.43132850399372	1.2408149150054	1.89263197438618	-0.855843396351548	-0.84552409620659	-0.866526070430559	-0.784086817929
Cd244	-0.720997630437238	-0.542680872617737	-0.472553543633473	-0.711215618386612	-0.565888552430085	-0.568185719695452	-0.0159969968691355	-0.65917716162664	1.88611637690008	2.06558295292017	1.09681089073935	1.43752283361155	-0.575105098117491	-0.683949528926696	-0.395980084918302	-0.574302246512295
Perp	-0.710665578580909	-0.807206890835929	-0.733077371222014	-0.707825775633016	-0.292838608330447	-0.187992267435571	0.34587594129412	-0.347086157295415	1.47426543412856	1.29013058705109	1.82265187845431	1.76976259372605	-0.668311710970346	-0.638781646067036	-0.841728632353281	-0.767171795930169
Neurod2	-0.655687863889748	-0.705405682760636	-0.624203726199153	-0.657221023646898	-0.474703778543926	-0.459022425850045	0.0981675824637812	-0.519747746727169	1.62862201575463	1.72108583561677	1.68361321076032	1.54851000972675	-0.546206756508818	-0.69440194419574	-0.620663442516073	-0.722734263484049
C1ql3	-0.727746643162507	-0.820035671398201	-0.771747047460772	-0.708818898608225	-0.201990328906345	-0.165772547095535	0.026622668741295	-0.203141444109156	1.39302953965074	1.43688819412257	2.06346381911766	1.50902894670939	-0.529889081576022	-0.708681395750287	-0.780841941903854	-0.810368168370761
Gzmm	-0.880169651941836	-0.708996518987792	-0.559372036199776	-0.87630931144983	-0.113100598933177	-0.0829702437984336	-0.211121900769984	-0.01728572740803	1.49679382044301	1.53035265420526	1.78926344595578	1.55015300807523	-0.297096517737095	-0.779682977037086	-0.90233357004518	-0.938123874371058
Galnt3	-0.818043417936583	-0.791665462846517	-0.971458467117035	-0.812944100760078	-0.306846253472362	-0.237368316304563	0.625022536264614	-0.415821043892237	1.60949721069169	1.27905471589336	1.35403363431641	1.9484547455108	-0.542846799756859	-0.624934226316507	-0.70380983390399	-0.590324920370145
Slc9a4	-0.693826482959732	-0.66265231087563	-0.618455905363961	-0.70789763596193	-0.44548998279308	-0.424512516527212	0.454579238208692	-0.524204878462747	1.50474573905183	1.37906961122481	1.80563535002785	1.72162870914248	-0.676151286048554	-0.716920096663315	-0.683007532398646	-0.712540019600851
Clstn2	-0.747687520242245	-0.728432770817787	-0.829552643280914	-0.743685178535914	-0.124923312833349	-0.0916214530283683	0.484718269118768	-0.18923987284571	1.69678695686925	1.72148703584703	1.22240977743737	1.51686490997042	-0.457578176866584	-0.766574995842968	-0.901021427840253	-1.06194959710874
Nptx1	-0.68371158027451	-0.747062651592029	-0.694473719887649	-0.688350733307393	-0.193930212342164	-0.135024075154425	0.22688301924134	-0.221988773682743	1.63601673190787	1.72303049007628	1.50558539919603	1.51444940516406	-0.68289207006882	-0.782108439432896	-0.895849304420812	-0.880573485422128
Ntng2	-0.755847415339267	-0.839489414727083	-0.694795502168388	-0.743868318018958	-0.0370909319543122	0.0607459981403911	0.380246712102473	-0.0785487340888981	1.4536705099362	1.40029226166359	1.7232774625678	1.57323346443096	-0.712092301681613	-0.804170964351164	-1.01598132919112	-0.909581497320612
Icam5	-0.348503658885227	0.103331037036285	-0.428519450405386	-0.284651142080465	-0.343367186866194	-0.353802888775059	0.0794893661425103	-0.370795686950558	1.47365989212916	1.41521140794786	1.70068979815788	1.59274013579024	-1.04382082524693	-1.27932426174522	-1.12633798067007	-0.78599855557882
Cdk14	-0.971655704676845	-0.515576030195155	-0.920235840230959	-1.03598054962844	-0.134958842715333	0.0339065014150875	0.538937659818105	-0.252250769441165	1.57241401255245	1.66331346232446	1.41017412782944	1.41329404600598	-0.46689746146486	-0.412025936160607	-1.09494196394093	-0.827516711491216
Tcam1	-0.699209743741237	-0.70136045690107	-0.696619504363012	-0.777341662939691	-0.436285504833992	-0.436997295637016	0.518314682844972	-0.573025212080193	1.59366457121772	1.44300988577861	1.62016777485129	1.72889940766016	-0.669117548649478	-0.725146073901654	-0.462379025183817	-0.726574294121588
Gfral	-0.823971697703995	-0.592215204613923	-0.734952296598962	-0.822296504720246	-0.0669857942617473	-0.139442180225855	0.074094306063647	-0.0684103967242183	1.26052435442574	1.17119933897876	2.13746261565398	1.67961529886569	-0.761603666449823	-0.823637052320599	-0.71391328578612	-0.775467834582319
Prss23	-0.676661372925257	-0.727875392958442	-0.591468758132255	-0.640474778614833	-0.0382874224672698	-0.0758931399868885	0.339564907864588	-0.0865170468919317	1.53381211413471	1.17847665466324	1.47682511516856	1.9607904320495	-0.881475344846502	-1.00376325829194	-0.814995788036633	-0.952056920728651
Slc2a9	-0.865430724133061	-0.662782964976025	-1.23236662286332	-0.860045000476859	-0.347165162167576	-0.284538858781135	0.431493667486521	-0.413605053465792	1.5157487891382	1.5861250802325	1.74380048312039	1.43910259847396	-0.458882185364391	-0.442034428813009	-0.536578658499984	-0.612840958910417
Cpne7	-0.872649694988195	-0.829929658023513	-0.768988976518766	-0.878787328149617	-0.59477962495873	-0.392277802097307	1.00615371782458	-0.764699806780462	1.31907339561874	1.4078762718954	1.90105658311296	1.35511998365656	-0.390444772821537	-0.445395347353891	-0.473570008088255	-0.577756932327969
Mei1	-0.707881925247219	-0.65080222999577	-0.714135433480482	-0.707416647280936	-0.360202772416618	-0.32836924934635	0.0714911182011112	-0.38694795885039	1.89237280197373	1.5571088204933	0.975574863509315	1.99335037729401	-0.649026911651367	-0.59761956445817	-0.71256781484691	-0.674927473897251
Chrna7	-0.33479963309856	-0.479037865590248	-0.0572627320929269	-0.337641724875975	-0.356159872756824	-0.166978215944767	0.204868003033144	-0.399634377885839	1.39291033983912	1.46386591669775	1.87761681631198	1.42146350107154	-0.979273636827504	-0.88643109920268	-1.2761427187966	-1.08736269988161
Slc30a3	-0.709638097651007	-0.734553575954277	-0.667458938174599	-0.719570608674895	-0.256169574763181	-0.25966503261033	-0.145582032524882	-0.233487727879728	1.58798162497602	1.66277822201282	1.75436035035403	1.55100410746915	-0.619028088469373	-0.703130847749116	-0.737921612051291	-0.769918168309345
Mas1	-0.664628208054358	-0.59996518617533	-0.618028638978961	-0.676556424640284	-0.47180983261251	-0.450763854530384	0.214041511304041	-0.526135664681611	1.77456601566238	1.66471405054334	1.33587610646022	1.74523301585499	-0.656035353581313	-0.687249942880671	-0.687061009973266	-0.696196583716278
Slit1	-0.610329149434229	-0.81250174458334	-0.633768190675578	-0.592289062598208	-0.233795122456854	-0.106300981684273	0.759626719336719	-0.36405569530254	1.34184065864661	1.61306556289217	1.89595891264755	1.19544737988625	-0.719625288897779	-0.871112281565393	-0.895376242694177	-0.966785473516922
Clmp	-0.772671631836991	-0.468401772455364	-0.67666498253321	-0.809608920692976	0.0347514649842882	-0.0745574786341539	0.048275043972167	0.0881533889018554	1.6875046923785	1.38862239218681	1.23258556113822	1.8806959936251	-0.781440708505241	-0.766153603214314	-0.980463530057043	-1.03062590925764
Dusp6	-0.758810251849494	-0.994727710800428	-0.840265441950231	-0.725981229614223	0.0606632290452356	-0.171841443504782	0.765446729076994	-0.0671518649236064	1.47248101803531	1.29217454051449	1.52906246032924	1.66165665220862	-0.659938960934234	-0.777685793423572	-0.953277447881077	-0.831804484328245
Alox12b	-0.672112471614685	-0.186969225590104	-0.663724360746083	-0.669495006274155	-0.704239165383156	-0.704700171436975	-0.0418063398762973	-0.92513124899979	1.48800363204572	1.09713593060912	1.95863393328973	1.85142744755508	-0.399429333018233	-0.756103478291185	-0.0751642706666053	-0.596325871602396
Ppm1e	-1.03472839792803	-0.915501342820807	-1.06153634274672	-1.0477191578644	-0.225955007761733	-0.205981737019246	0.623393293384923	-0.345993787513768	1.43924128525704	1.52197745338818	1.71469755709461	1.41995004130886	-0.315246357922815	-0.505820831674698	-0.493855296176091	-0.566921371005301
Gpr161	-0.480225807430556	-0.377202801710886	-0.286191640513857	-0.472201796726823	-0.768559234575769	-0.896640672055516	1.08944836337179	-1.03693861652322	1.26294971282927	1.15383375837207	1.89954083290172	1.54485169147475	-0.695987043804588	-0.566837229118138	-0.67257467692781	-0.697264839562431
Rasal1	-0.441452177966087	-0.604954102797631	-0.644528887971452	-0.376125327025722	-0.18678576161709	-0.0794682615972411	0.58148364160671	-0.297546749569976	1.43227564708271	1.56566553207274	1.71335440150099	1.35660004345086	-0.776992394152191	-1.06381643073194	-1.20948018679338	-0.968228985491295
Olfm1	-0.820820003189024	-0.67367769553777	-0.862634796143924	-0.844491254726548	0.00488611226810164	0.0321503555314855	0.283243817028131	-0.00527128453952597	1.50653261676823	1.61486143763154	1.62618844262033	1.42332418634731	-0.596445083828837	-0.774960002431569	-0.947502501910951	-0.965384345886975
Rgs13	-0.696256223196167	-0.700931948229454	-0.866117726495534	-0.694499015283887	0.0236437792193322	-0.126197262969429	-0.273106810404031	0.318391749198908	1.19574220167639	1.24574784530973	2.26124349633479	1.42805281966497	-0.630834746950576	-0.752642704883977	-0.866117726495534	-0.866117726495534
Jph1	-0.538337102623719	-0.359871808510357	-0.512369862882829	-0.5204602217382	0.0274508308114083	-0.100594638260974	0.0709195345485297	0.111983514630588	1.58010521414338	1.8977564257142	1.3838831517487	1.19699666031331	-1.13958473460384	-1.19974654570808	-0.820222658883033	-1.07790775869908
Foxo6	-0.573966272307158	-0.625014965520028	-0.546203555996215	-0.491436728740653	-0.449485356821704	-0.260689372891686	1.09328804134124	-0.634308288034953	1.23928450718608	1.40869936460465	1.97299931475894	1.23693659087284	-0.62272128314913	-0.801813005671291	-0.917353489409613	-1.02821550022131
Hes1	-0.613042949500785	-1.1213590916528	-0.887106154196542	-0.53467166507812	-0.25366270822192	-0.129981238050038	0.542272246810155	-0.385359441634013	1.54364556207617	1.19576300696879	1.48491319787453	1.91064105631087	-0.419778015944013	-0.510935087687609	-0.855955650675822	-0.96538306739885
Rnf182	-1.01768741594409	-1.13214815770262	-0.793535731822739	-1.02938997683655	-0.321959767480165	-0.27458355682579	0.653765751610657	-0.458670387791308	1.70779885488599	1.51814919937265	1.10425395621536	1.72988645772959	-0.340759773680309	-0.326959873914538	-0.538958409696941	-0.479201168119191
Prox1	-1.10778730812759	-1.1518642738988	-0.88790503338926	-1.13105476574303	-0.328921182905765	-0.224792008370851	0.544121162724762	-0.387883637644991	1.54932589857942	1.61009805106747	1.43416114286526	1.4783223524652	-0.28541301751039	-0.264835770259786	-0.543072359327761	-0.302499250523873
Neurod6	-0.653436840739425	-0.692510131322947	-0.662275321727628	-0.652740007259047	-0.504280364743644	-0.490061198401159	0.309376576241837	-0.56199730483227	1.61400582515665	1.66519290604656	1.66292146320017	1.57172008998355	-0.581902163519936	-0.696251551950177	-0.616912609488781	-0.71084936664375
Nkain3	-0.348840490242418	-0.293299747476301	-0.798609306140243	-0.273867630183567	-0.826738379517429	-0.68578515257843	-0.058467436310458	-0.876878505409702	1.35901539021502	1.20141477089901	1.97811874615345	1.68264721950731	-1.00042340356061	-0.933313782377878	-0.408222265667852	0.2832499726901
Zbtb18	-0.858621385570869	-0.954088914955932	-0.913701802225259	-0.86277707153065	0.0656592091482816	-0.0215765357118778	0.432781479836474	0.0361135999324317	1.5370010560425	1.57952445526627	1.46109822004274	1.46638950950524	-0.497459989773496	-0.944415186768875	-0.504236419203452	-1.02169022403354
Scube2	-0.418235558206348	-1.11703554008325	-0.545884431300137	-0.246236706321027	-0.305106489399178	-0.494055830492299	-0.305638883170436	-0.202379081059284	2.07403386017583	1.90932374590737	0.287930749365535	1.65300130836371	-0.851541687911516	-0.941142357698046	0.105242227149664	-0.60227532532059
Nectin1	-0.686675433019247	-0.693157044683815	-0.740623949368339	-0.687840183598785	0.0536176081782532	0.194910831724869	0.526441831510598	0.00466121054584614	1.37421015097431	1.1738984497449	1.68126573928764	1.66974038460929	-0.813020824655173	-1.10192339046116	-0.836477807461708	-1.11902757332748
St6galnac5	-0.693809984318903	-0.856022191874179	-0.548609194083387	-0.649774764957207	-0.299468673100477	-0.213262745297238	1.13004567373202	-0.501823589679953	1.31480687837862	1.48059705850696	1.78417266759689	1.25509776886542	-0.673805452353247	-0.943466167498323	-0.547888997990511	-1.03678828592648
RT1-M6-1	-0.681427174111074	-0.844839115522628	-0.676009720529251	-0.679736686561913	-0.274187330713831	-0.133013086161281	0.724020948616895	-0.417513788821457	1.56378411282366	1.76731962848855	1.59070780074053	1.22428147460919	-0.844839115522628	-0.844839115522628	-0.73504903946536	-0.738659792346771
Ptgs2	-0.57153251241487	-0.763632018035223	-0.699160900003941	-0.545004635958245	-0.0582603606946431	-0.0757008616098218	0.580115239307856	-0.156466525329078	1.75905167195363	1.66762119104715	0.990047611945082	1.59337947909386	-0.959482391799014	-1.06768752654786	-0.695365229870674	-0.99792223108421
Nrp1	-0.725293917630674	-0.77240712711592	-0.764434578008162	-0.671207993487491	-0.0698061026311479	-0.0160618727146834	0.830363228603943	-0.185999960377971	1.52955225592736	1.56685230198711	1.40889949054537	1.44584645639992	-0.778667958934317	-0.797072211364323	-0.985660035553345	-1.01490197564567
Htr1a	-0.940188784563211	-0.828948694542708	-0.888419764785956	-0.950941773621373	-0.138328462983062	-0.0440559927574991	0.572465742679032	-0.217681771837297	1.39469686438654	1.50725001662138	1.80849477747517	1.38478967810446	-0.552436991912046	-0.872545415482588	-0.387108632611142	-0.847040794169696
Unc5d	-0.75025153446719	-0.333797459836559	-0.731798062911967	-0.768318107604752	0.176618647963111	0.178740578727591	-0.122804595405223	0.343528223473513	1.49689317547224	1.07526400998395	1.36033396932769	1.97955656553767	-0.893750831547241	-0.970515979883389	-1.11126659500877	-0.928432003820673
AABR07007642.1	-0.848334199922399	-0.678428762275512	-0.900717782828419	-0.852047551961843	0.20416581565563	0.156502146165466	-0.18110296807257	0.418008873548608	1.74805040995847	1.36502429420667	0.875529506239363	1.91733747305402	-0.726420221574232	-0.683681391049164	-0.9668428850483	-0.847042756095784
Adra1d	-0.788387359065612	-0.81846140221381	-0.761729281114454	-0.787807913733241	-0.292524757598806	-0.263468083639314	0.0541870084693524	-0.314305119396275	1.73646554375111	1.50060350066266	1.35608516264018	1.88444204043955	-0.502654694286648	-0.614541568350627	-0.70641377727756	-0.681489299286507
Lhx9	-0.755284219616084	-0.879265263007918	-0.934273679529943	-0.813741733794682	-0.206560386293455	-0.155649597653918	0.372427349126135	-0.260373084502027	1.56648973765579	0.82500208049753	1.01332008838641	2.51731766460823	-0.578775398473525	-0.432361432516255	-0.712870801273176	-0.565401323613104
Ryr2	-0.370674797620722	-0.437204802105228	-0.451430063531916	-0.343361735057048	0.0058625177498804	-0.00376817426455586	0.0459441130082802	0.0785422131246557	1.6756751345267	1.6954682913828	1.14768250751156	1.48610858481146	-1.15567145421997	-1.18073537624313	-1.08781410478515	-1.10462285428762
Rspo2	-0.621401354889342	-0.695216278901732	-0.677031124670465	-0.583593612275942	-0.428136965440357	-0.395019566595089	0.268434903684159	-0.489044187735101	1.75395455717825	1.89115744330687	1.34221493593322	1.4817455661469	-0.665071223314157	-0.722028342755873	-0.719965278919079	-0.740999470752248
Ppia	-0.67087931088662	-1.13624839259448	-0.00654664021167319	-0.697997954101912	0.0473865811248472	-0.0559876289945835	0.145036280700271	-0.0939845043667648	1.74958064335273	1.91149366774967	0.986523915432542	1.3723197693294	-0.827997558945102	-0.870428087048603	-0.98251728742496	-0.86975349311476
Rasl10a	-0.638869631103881	-0.443193812423478	-0.938188979709438	-0.647003281959467	0.127434738879976	0.116817101433584	-0.294935958101328	0.357432478276567	1.40997116514439	1.56890093806647	1.7565036774858	1.34769038805765	-0.891897902397496	-1.01297716442952	-0.791908412220637	-1.02577534499919
Trpc6	-0.844086431194825	-1.01622600020394	-0.995861551197916	-0.807555445910032	0.249878198669081	0.15311084587015	-0.0751115806027918	0.439594620134747	1.52509740431683	1.73106454833208	1.40687902085956	1.28832107579824	-0.740205431817352	-0.806672858322944	-0.634604664984192	-0.873621749746703
Gpc4	-0.854974841612852	-0.877805156986701	-0.696656823877016	-0.859188274108539	0.00699445131846384	0.0972327612808131	0.531478494128557	-0.0452963544400362	1.2853878609646	1.65540509259973	1.90696164572419	1.06264841099323	-0.386455245893531	-0.956884301357665	-0.859147150638338	-1.00970056809491
Phlda2	-0.519744135982225	-0.528758145738064	-0.847208483646305	-0.516356535310337	-0.275438413351603	-0.276631708554777	-0.275595937472913	-0.276324829572275	1.70809620750725	0.897643313829011	1.16246661999618	2.46987210879037	-0.620415520212554	-0.847208483646305	-0.407187572989149	-0.847208483646305
