Bo_14_2b	Bo_15_2b	Bo_22_2b	Bo_23_2b	Bo_22_4b	Bo_23_4b	Bo_20_4b	Bo_21_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19
Cpne5	1.44342062969705	1.64659005974488	1.60346827205649	1.49645282298351	-0.505176858184853	-0.610284757511434	-0.977974176025758	-0.379408036291843	-0.837237366900492	-0.832145595963137	-1.06134131104403	-0.916586928786436	-0.246840338933267	-0.319978886379424	0.148747762694995	0.348294708843743
Mn1	1.48464656887833	1.8641266523844	1.21395724186977	1.55001772137956	-0.465306999682411	-0.544114045836737	-0.849222927991443	-0.398016086783506	-0.984983267195907	-1.06013782899539	-0.993543109396105	-0.906285965886844	-0.137866898309263	-0.144709040887164	0.328800595372196	0.0426373910804965
Tmem158	1.57982284005972	1.39430147972193	1.27880412886945	1.7825855160752	-0.8110460765748	-0.803616843418572	-0.81364866995257	-0.805456464981373	-0.815094881918066	-0.742511347408026	-0.811821734828119	-0.896275713678295	-0.269535972810283	-0.120474282854126	0.46499830680571	0.388969716892227
RGD1311744	1.5293722651744	0.478133990851066	2.23159305820837	1.72145154686003	-0.397805991215554	-0.0394579212337278	-0.539558250227151	-0.380708886089885	-0.802089019437397	-0.897598060529601	-0.490789112738387	-0.599493401062466	-0.644388925095933	-0.141750569219055	-1.17724673267238	0.150336008427671
Ap1s2	1.33046376303127	1.49794865564862	1.90887051801088	1.31474549388006	-0.481721934770046	-0.463820516454101	-0.646987377746459	-0.445964995066926	-1.02295331253965	-1.09238624982049	-0.883529638997913	-0.906277672310769	-0.321381727107388	0.40856696217096	-0.554933815204752	0.359361847276704
Efnb2	1.19147172590006	1.87332418086357	1.79607521745112	1.20656956634753	-0.145520342656344	0.0328009106231439	-0.354101348316518	-0.166208347052936	-1.20641198773734	-1.19597124638918	-0.698475726455149	-1.10697003367579	-0.169251554941005	-0.00875734190906103	-0.659538509256514	-0.389035162795581
Gpr165	1.15012398174062	1.54400792187934	2.24250061069315	1.0647983589133	-0.180095605415646	0.143363934731367	-0.50816857850493	-0.132397050554955	-1.03042179753442	-1.11234435512725	-0.875351478244926	-0.888386123865545	-0.0718615046285447	0.00388741064081733	-0.800096105426663	-0.549559619295717
Slc5a7	1.70936395642665	1.59984165149309	1.33129122638389	1.79090296295152	-0.62709827092692	-0.613158744526326	-0.686984806043572	-0.620220502017907	-0.742521441525357	-0.740733879459432	-0.7633351869421	-0.751412670511175	-0.641501472375	-0.242833282721754	-0.313253381348997	0.311653841143383
AC097940.1	1.54591798033184	1.46485600564859	1.72155828191025	1.57638229170266	-0.673797376669605	-0.675310746711413	-0.871706663105975	-0.543283287232916	-0.744243494867069	-0.795422187279871	-0.935527358920358	-0.761536035075161	-0.562204399907329	0.164811689092298	-0.130644042415045	0.22014934349911
Insrr	1.53323066496561	1.80177841093148	1.45940473369434	1.70591046873678	-0.517276290889133	-0.475254136915314	-0.730978215604928	-0.347062374359942	-0.77398367766511	-0.81642601888422	-0.81642601888422	-0.73378342825136	-0.6469146894501	-0.424007286857444	-0.355988711742931	0.137776571176486
