logFC	logCPM	PValue	FDR	svz_EXTRA_14	svz_EXTRA_15	svz_18	svz_19	svz_16	svz_EXTRA_16	svz_17	svz_EXTRA_17
Rab37	-1.66624887218643	2.00629408289672	5.67735641908907e-08	1.57664451385454e-06	1.33772699740136	2.40117600594216	1.01951208970796	2.70002026767849	3.70755032369896	4.88564029125137	6.37372519695411	8.7699769816188
Lgals3bp	-0.660389064781482	3.4595000664349	0.000242896869807539	0.00215751378921336	10.2417183084063	10.0318651104811	5.89678756836338	7.60104701904272	14.9251280151022	10.1927178445099	15.104051355578	13.1686319433479
Jpt2	-0.654751157343738	4.17291605799107	1.26406017195002e-07	3.25321859638126e-06	13.6935506466779	12.7002149345555	13.932759640362	15.3726092233843	21.2711043517524	18.4477103215542	21.3723657852465	26.612510561823
Baiap3	-0.836094444649914	5.20704797702203	6.32538114303724e-05	0.000694507783205043	28.8733708857598	27.3212391638735	18.9191344229469	30.6404875713973	44.5258972697926	27.3241358181464	46.8687764530235	70.1085703739107
Adra1b	-1.39182503346194	3.60068377778716	7.45373194245796e-14	8.72832010461828e-12	8.02583147290069	8.11082472908856	4.44988832914909	5.94562871101661	19.4978933897637	13.4519176669838	20.513548631256	16.1998786627805
Nipal4	-0.926585569848745	4.0382332708543	8.46696651267547e-09	2.98190008611819e-07	10.9226262544926	7.84446895459472	15.1086789117531	11.1234349091803	23.4114779202865	19.0273592074378	19.4981678085714	23.6203415314385
Trim7	-0.725554680401988	1.26318406066036	0.000658737141310871	0.00496597334211393	1.99183908342793	1.97433992013584	1.39386453987035	1.55014054437737	3.13790869504853	2.57462572819249	3.21337063319503	2.51678592259172
Rasgef1c	-1.05304062291956	2.33527536979737	8.68314388344558e-11	5.375133825999e-09	3.10569868406476	2.98830339342819	3.26876907015369	3.4688853295204	6.50319629020783	5.99095007969465	6.69551703639751	7.46548650855682
Adamts2	-0.90666360037571	3.15984812448082	2.0770817893168e-05	0.000271508402823066	7.80101468770199	7.57720343756814	4.50304539094661	4.69888615185232	13.9828770113787	10.4065497886543	13.5503769377328	8.16221465702283
Adamts2.1	-0.90666360037571	3.15984812448082	2.0770817893168e-05	0.000271508402823066	7.80101468770199	7.57720343756814	4.50304539094661	4.69888615185232	13.9828770113787	10.4065497886543	13.5503769377328	8.16221465702283
Gpx3	-0.723098513474179	3.74016830916153	3.45065515799039e-07	7.72111564969441e-06	9.70304037896526	12.2730152234415	7.61127548410004	10.4017063954596	15.0482690604544	16.7704411302646	18.3715748680835	15.841803199621
Litaf	-0.774494120874169	5.16617788925371	1.3425366486067e-09	6.0855887052327e-08	25.0052487039492	20.4378496293631	31.9895209459343	28.2026835474853	45.6228919947399	40.0025895900148	41.8343936157742	53.2592066690812
Litaf.1	-0.774494120874169	5.16617788925371	1.3425366486067e-09	6.0855887052327e-08	25.0052487039492	20.4378496293631	31.9895209459343	28.2026835474853	45.6228919947399	40.0025895900148	41.8343936157742	53.2592066690812
Trim16	-0.88892738256561	2.63156375659224	7.24430069791543e-08	1.94640369803265e-06	4.54279358892992	5.06925740378465	3.27009212481976	4.19019976303887	7.93449627174788	7.30560381219111	8.8373109341483	7.5596952986496
Pmp22	-0.581351938024327	5.01775022592537	8.16142247211582e-09	2.9034002171689e-07	25.1141174554453	22.3587782680507	28.6682000728732	27.3223321952968	38.6809769398673	35.5351524996513	37.2275162488654	43.3768819429119
Pmp22.1	-0.581351938024327	5.01775022592537	8.16142247211582e-09	2.9034002171689e-07	25.1141174554453	22.3587782680507	28.6682000728732	27.3223321952968	38.6809769398673	35.5351524996513	37.2275162488654	43.3768819429119
Aloxe3	-0.63450609979616	2.27542819966542	0.000237442093330745	0.00211440829878557	4.15258733013455	4.16215491144168	3.1624132513813	3.36002139838351	6.27757522422549	5.46631977735617	6.32001702095557	4.9835948173986
Kif1c	-0.662224519701484	7.83801518127689	8.8864251004141e-11	5.47684410136048e-09	180.989470771569	147.865951802163	205.613199974963	174.001051185826	302.497034205109	256.594685649921	270.553223765639	291.536179429429
P2rx5	-1.65032164519332	0.58489960105882	3.8563202646069e-08	1.11500025428511e-06	0.88327699871617	0.907094178979372	0.322182755845748	0.567709636318696	2.42094271517407	1.3632623022662	2.62385844523465	2.05688568086038
Aspa	-0.696420844475403	4.37682999949864	8.40421295384186e-09	2.96723619164286e-07	14.1986293176602	14.0876452725279	16.6651993675701	18.1177193603203	23.2039593315278	23.7597944076511	24.5327954745891	30.727553773434
Aspa.1	-0.696420844475403	4.37682999949864	8.40421295384186e-09	2.96723619164286e-07	14.1986293176602	14.0876452725279	16.6651993675701	18.1177193603203	23.2039593315278	23.7597944076511	24.5327954745891	30.727553773434
Coro6	-0.5906815628546	3.94565100191058	6.24990766437984e-05	0.000688273530563209	12.3059289784558	15.5280284514975	8.84418896044596	12.1586026898959	17.2507413501625	18.4523594501997	20.8353239437026	17.0225923468848
Fam57a	-0.601407825332079	2.96733568512002	1.83037550969425e-05	0.000244026913303829	6.37286257051608	5.8164839217025	6.05548182735545	6.26135939264628	9.64078183166218	8.04015379506771	9.32017509899132	10.1914379498737
Evi2a	-0.771768213116156	5.93097349781778	3.54968085130985e-07	7.91747862263588e-06	42.0801880974422	31.217053428431	60.3356071442985	46.3094148515339	80.5536770816042	68.3907866498169	68.7239719694756	89.5781473872947
Evi2a.1	-0.771768213116156	5.93097349781778	3.54968085130985e-07	7.91747862263588e-06	42.0801880974422	31.217053428431	60.3356071442985	46.3094148515339	80.5536770816042	68.3907866498169	68.7239719694756	89.5781473872947
Myo1d	-0.954210165899168	6.5174242592066	1.63602445474281e-10	9.46066487162387e-09	60.6472136336637	43.3835667205372	84.8247161530631	60.3267950338257	133.776046032503	110.185188381089	110.450308847343	128.409477721367
Tmem98	-1.11704961709926	4.30880454288949	2.90684916376365e-12	2.56899650623942e-10	14.1810712672588	9.33856283008289	15.431061580265	10.8066698952263	33.8684024841707	22.1795157097638	25.9790042994142	25.9246283679396
Sept4	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
Sept4.1	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
Sept4.2	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
Sept4.3	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
Sept4.4	-0.582648115359392	7.94163649171817	1.63116980376486e-05	0.000222320058996158	197.122680322262	146.051763874145	259.46660904339	184.501042229622	330.484643902208	279.726980267228	273.231840539035	295.391104516534
