Gene	DG_logFC	CA_FC	Bo_20_4b	Bo_21_4b	Bo_22_4b	Bo_23_4b	Bo_24_4b	Bo_25_4b	Bo_14_4b	Bo_15_4b	Bo_14_5b	Bo_15_5b	Bo_22_5b	Bo_23_5b	Bo_20_5b	Bo_21_5b	Bo_24_5b	Bo_25_5b
Piezo2	Piezo2	1.773450318	-0.589738143	0.0922890206744201	-0.270567084191344	-0.253013024151738	-0.18062236105049	2.10560983397435	0.560078892481199	2.83848752511245	1.41818392406093	1.22115135962409	0.839214560639451	0.791238850885202	1.57680807576822	0.174561932855059	0.717241007746024	0.535815339997512	0.298319235043322
Tuba8	Tuba8	1.669419465	-0.657079739	-0.0790199790261479	-0.249674704998339	-0.253076367648812	-0.245340601873065	2.43626343112163	2.15584076584139	2.27105017696268	0.862090352455262	1.17397467696105	0.955123320061156	0.801432219349785	1.32726600291691	0.0638122090701011	0.387668865829498	0.434960609846489	0.0503134795875671
Bok	Bok	1.647173466	-0.682809671	-0.750469087274431	-0.812316787330779	-0.83240615965495	-0.912186222445419	1.59311508281309	2.22323210544601	0.414016586995806	0.790859733164629	0.32567792684685	0.0825260112677768	-0.406681042602769	0.348761952385221	-0.828939945681285	-0.699773320714824	-0.33724028104409	-0.647730016101497
Calml4	Calml4	1.646394052	-1.169729213	0.582123513524026	-0.315980638420204	-0.220447411743569	-0.17493689476342	3.43613048156617	1.75775682790053	1.99348503539528	0.9242604468991	0.735888199268044	1.11432862889453	0.446957140939455	0.347498941795433	-0.275978374075418	-0.412488124658233	0.265694090356879	-0.600472828613024
Vav3	Vav3	1.642010296	-0.877642627	-0.741070252861331	-1.26737711875135	-1.2114874343032	-1.25796221406623	1.87382486555454	1.20301253844864	0.0452645604100292	1.07192210708465	-0.410768947395667	-0.232400144944593	-0.660043312170028	-0.629295935542803	-1.2670698357246	-1.31009505233619	-0.799301272524296	-1.53390717818284
Robo3	Robo3	1.580613011	-2.158459235	-0.034029382105251	0.447006315369911	0.279702607840579	0.0673366697097577	0.913300945008834	1.9210941247569	0.120807775817637	4.54619077364832	0.519546161419638	0.655966073761273	-0.110418342679804	0.193849818990977	-0.410812213726578	-0.444534095152475	-0.0392932502067042	-0.45054150222163
Nptx1	Nptx1	1.567383479	-0.650756128	0.101814565167859	-0.313820652555351	-0.287839678843859	-0.233295228644022	2.10991587357175	0.736083220007007	2.16975203128945	1.36016046009184	1.40660940123884	1.48718025218416	1.28583581683413	1.29404349017983	0.490446850021628	0.43977729986617	0.600817230037385	0.383151710276217
Rsph10b	Rsph10b	1.556348523	-0.80877525	0.514997046636604	-0.602178014063896	-0.478664782808214	-0.464373361920369	3.45429297114788	1.61251334204829	1.15808767228462	1.59594269971563	0.607430609559109	0.797618868969038	0.400994601559618	0.404065099179347	-0.366642786894552	-0.321496683871111	0.262744574353833	-0.750290848595925
Tmem54	Tmem54	1.454105325	-1.394083126	-0.642443722061189	-0.332801139841134	-0.475991793672659	-0.540811523428425	1.49041660724958	1.65200738607597	1.36981282497334	2.17755027158058	1.78417574835072	2.08097888594771	0.280213693476024	0.98817144319632	-0.68198944589013	-1.04044845546731	-0.193604605268874	-0.455199831116511
Scube2	Scube2	1.45081103	-0.863947157	-0.308953469011139	-0.238338578493448	-0.308589388051258	-0.437803629817076	2.0609611936465	2.67077506296779	0.718887475441266	2.48857139961444	1.31840128863646	1.20576320054768	0.0969630034128149	1.03047542646414	-0.520438437279625	-0.44157884799938	0.804460817503066	-0.677762654652156
Tjp3	Tjp3	1.395109171	-0.935103183	-0.0114928504002479	-0.330649054113337	-0.328744734219801	-0.289039690636621	2.39943521286674	1.66826636852951	2.21350888872919	1.115120298553	1.19824415884875	1.24352536939288	0.314508182604585	0.879735057308326	-0.431999828288518	-0.461594007983294	0.378774594143316	-0.562332181469937
